Ürün Grup ID,Varyant ID,İsim,Satış Fiyatı,İndirimli Fiyatı,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2
31e1474c-f2d2-4980-81af-4b05906ef2df,6e8ce710-5759-40f2-a6aa-0ffb35d7aebb,%100 Organik Pamuk Bebek Kundak Uyku Tulumu | Yenidoğan 0-3 Ay,715,504.9,Kundak Seçeneği,Kirpi Detay - Krem Rengi Kundak,,
31e1474c-f2d2-4980-81af-4b05906ef2df,d91a6606-3497-401d-81ff-b0c9e76255a2,%100 Organik Pamuk Bebek Kundak Uyku Tulumu | Yenidoğan 0-3 Ay,715,504.9,Kundak Seçeneği,Çiçekli - Krem Rengi Kundak,,
31e1474c-f2d2-4980-81af-4b05906ef2df,fd8c1034-3b4e-481b-96d3-a1b03a85185e,%100 Organik Pamuk Bebek Kundak Uyku Tulumu | Yenidoğan 0-3 Ay,715,504.9,Kundak Seçeneği,Çiçekli - Kiremit Rengi Kundak,,
72b93f6f-2d1f-4a5f-9940-ff11ba192b3e,170276ab-51dd-4f60-9d7a-f796b49f7791,0-3 Ay Organik Pamuk Bebek Kundak Seti – Müslin Örtü & Ahşap Diş Kaşıyıcı,1098.9,944.9,Kundak Seti,Kirpi Detay - Krem Rengi Set,,
72b93f6f-2d1f-4a5f-9940-ff11ba192b3e,0304b401-7943-4cdc-ac08-0de78cc66ee7,0-3 Ay Organik Pamuk Bebek Kundak Seti – Müslin Örtü & Ahşap Diş Kaşıyıcı,1098.9,944.9,Kundak Seti,Çiçekli - Kiremit Rengi Kundak Set,,
4adec32d-e3f1-46b7-b9b5-206696a5ad15,12eca576-e86f-4333-be57-182a6e38be9c,"2'li Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak",768.9,560.89,2'li Set İçeriği,Fil Set,,
4adec32d-e3f1-46b7-b9b5-206696a5ad15,1c5c04aa-52c7-4c40-a3f4-fe2dad4ba840,"2'li Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak",768.9,560.89,2'li Set İçeriği,Koala Set,,
4adec32d-e3f1-46b7-b9b5-206696a5ad15,3fd09171-765e-4a94-8936-b8337233aae4,"2'li Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak",768.9,560.89,2'li Set İçeriği,Ördek Set,,
11dfe8c3-0f6c-4b79-bf0a-925c31ab1f79,4d3a3da4-3418-40e3-bad4-17e22eb5f598,"3’lü Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak ve Emzik Askısı",825,724.9,Set İçeriği,Geyikli Set,,
11dfe8c3-0f6c-4b79-bf0a-925c31ab1f79,367142cb-9518-4a1b-a2f9-39405b5c3f93,"3’lü Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak ve Emzik Askısı",825,724.9,Set İçeriği,Fil Set,,
11dfe8c3-0f6c-4b79-bf0a-925c31ab1f79,bd52073a-5076-4d84-8206-44829649703c,"3’lü Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak ve Emzik Askısı",825,724.9,Set İçeriği,Ördek Set,,
11dfe8c3-0f6c-4b79-bf0a-925c31ab1f79,e8f535f6-3e27-45f5-aa49-da90db5a2500,"3’lü Doğal Bebek Seti | Desenli Müslin, Amigurumi Çıngırak ve Emzik Askısı",825,724.9,Set İçeriği,Koala Set,,
fe41b0e3-3559-47f6-9308-b46f078274a2,6de4eda5-f9a5-4a8c-9e76-9a51f0f14cb5,7 Parça Lila Pamuk & Müslin Bebek Hastane Çıkış Seti | Diş Kaşıyıcı Hediyeli!,1320,1067,,,,
5d7548c6-5918-4e30-a27b-356e596c67c0,119cfe3c-e8d0-4089-9888-d24956b33a93,7 Parça Mint Yeşili Pamuk & Müslin Bebek Hastane Çıkış Seti | Diş Kaşıyıcı Hediyeli!,1320,1067,,,,
805fac5a-683b-4578-acbb-240b1e7d004b,67ca8a7c-1a25-4576-bb5e-b6a13c56cc2e,Balon Nakışlı %100 Pamuk Yenidoğan Kundak (0–3 Ay),715,504.9,Kundak Renk,Kırçıllı Kahve Tonu,,
805fac5a-683b-4578-acbb-240b1e7d004b,e42feae0-e3c1-4bcf-bb97-3b69ec85896f,Balon Nakışlı %100 Pamuk Yenidoğan Kundak (0–3 Ay),715,504.9,Kundak Renk,Kırçıllı Mavi,,
805fac5a-683b-4578-acbb-240b1e7d004b,9c91699b-a052-4c92-86d7-ca9bec9ac864,Balon Nakışlı %100 Pamuk Yenidoğan Kundak (0–3 Ay),715,504.9,Kundak Renk,Kırçıllı Pembe,,
5ff4f824-20ec-4d46-b09d-a8e6736c0ab4,c35c6436-629b-4c14-a0a9-392d66fb7490,Bebek Bornoz & Bakım Seti | Organik Pamuk Banyo Havlusu ve İsimli Bebek Fırça Tarak Seti,990,737,,,,
d8c07f65-71e5-4eb0-9bb9-50c3ea9b61a7,fc5343a7-6c32-4b1c-ab24-47a7371d24fe,Bebek Emzik Askısı ve Ağız Silme Önlüğü Seti - Mavi Puantiyeli Kumaş,330,275,,,,
cfb038bc-00c9-4d98-9553-70bb6f97214b,8bf89206-1554-4e88-b6d0-8080e456bc58,Bebek Emzik Askısı ve Ağız Silme Önlüğü Seti - Çilekli,330,275,,,,
